* Block Type = 96-Well 0.2-mL Block
* Chemistry = TAQMAN
* Date Created = 2015-12-22 09:15:13 AM PST
* Experiment Barcode = NA
* Experiment Comment = Prime Star GXL mg/dntp start
grid screen 40, 45, 50 deg
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Yarrow\Results\122115\2015-12_21_1_Prime_Star_GXL_Pol_kinetics.eds
* Experiment Name = 2015-12_21_1_Prime_Star_GXL_Pol_kinetics
* Experiment Run End Time = 2015-12-21 10:21:47 AM PST
* Experiment Type = Custom
* Instrument Name =       quantstudio3
* Instrument Serial Number = 272320216
* Instrument Type = QuantStudio® 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage4, Step1
* User Name = Yarrow

[Multicomponent Data]
Well Position	Cycle	ROX	SYBR
      H9	6		
      H10	6		
      H11	6		
      H12	6		
      A1	7		
      A2	7		
      A3	7		
      A4	7	125,014.133	1,273,255.750
      A5	7	101,357.312	632,514.375
      A6	7	100,353.172	1,209,401.375
      A7	7	96,626.852	1,212,003.125
      A8	7		
      A9	7		
      A10	7	94,621.289	1,281,309.875
      A11	7		
      A12	7		
      B1	7		
      B2	7		
      B3	7		
      B4	7	105,051.648	1,019,284.812
      B5	7	94,675.969	581,896.625
      B6	7	89,204.586	1,068,890.750
      B7	7	93,743.156	1,098,788.625
      B8	7		
      B9	7		
      B10	7	85,283.797	1,133,161.500
      B11	7		
      B12	7		
      C1	7		
      C2	7		
      C3	7		
      C4	7	98,644.688	965,430.500
      C5	7	87,260.961	554,176.500
      C6	7	89,659.867	999,169.062
      C7	7	88,225.680	975,701.375
      C8	7		
      C9	7		
      C10	7	80,847.070	1,062,764.000
      C11	7		
      C12	7		
      D1	7		
      D2	7		
      D3	7		
      D4	7	99,296.117	980,117.062
      D5	7	90,612.195	600,007.375
      D6	7	84,606.203	917,683.250
      D7	7	87,519.070	921,876.875
      D8	7		
      D9	7		
      D10	7	80,883.508	970,676.000
      D11	7		
      D12	7		
      E1	7		
      E2	7	80,110.680	751,435.000
      E3	7	84,677.188	755,070.875
      E4	7	90,613.945	858,252.875
      E5	7	87,165.789	601,037.562
      E6	7	89,358.555	879,277.750
      E7	7	89,561.734	879,080.438
      E8	7		
      E9	7		
      E10	7	76,710.742	763,849.938
      E11	7		
      E12	7		
      F1	7		
      F2	7	81,036.836	1,301,555.375
      F3	7	65,172.027	1,365,731.750
      F4	7	97,374.188	911,811.875
      F5	7	85,652.797	567,985.562
      F6	7	84,551.133	788,801.188
      F7	7	89,727.359	801,333.250
      F8	7		
      F9	7		
      F10	7	78,815.648	576,523.312
      F11	7		
      F12	7		
      G1	7		
      G2	7	59,159.273	1,793,528.000
      G3	7	56,051.656	1,857,024.750
      G4	7	90,606.102	826,799.438
